I,R,B
1,5.454545454545455,3.6666666666666664e-08
1,5.545454545454546,3.60655737704918e-08
1,5.636363636363637,3.548387096774194e-08
1,5.7272727272727275,3.492063492063492e-08
1,5.818181818181818,3.4375e-08
1,5.909090909090909,3.384615384615384e-08
1,6.0,3.3333333333333334e-08
1,6.090909090909091,3.283582089552239e-08
1,6.181818181818182,3.235294117647059e-08
1,6.2727272727272725,3.1884057971014494e-08
1,6.363636363636364,3.142857142857142e-08
1,6.454545454545455,3.098591549295774e-08
1,6.545454545454546,3.0555555555555556e-08
1,6.636363636363637,3.0136986301369865e-08
1,6.7272727272727275,2.972972972972973e-08
1,6.818181818181818,2.9333333333333335e-08
1,6.909090909090909,2.894736842105263e-08
1,7.0,2.8571428571428572e-08
1,7.090909090909091,2.820512820512821e-08
1,7.181818181818182,2.7848101265822786e-08
1,7.2727272727272725,2.7500000000000005e-08
1,7.363636363636364,2.716049382716049e-08
1,7.454545454545455,2.6829268292682925e-08
1,7.545454545454546,2.650602409638554e-08
1,7.636363636363637,2.619047619047619e-08
1,7.7272727272727275,2.588235294117647e-08
1,7.818181818181818,2.558139534883721e-08
1,7.909090909090909,2.528735632183908e-08
1,8.0,2.5000000000000002e-08
1,8.09090909090909,2.4719101123595508e-08
1,8.181818181818182,2.4444444444444447e-08
1,8.272727272727273,2.4175824175824175e-08
1,8.363636363636363,2.3913043478260872e-08
1,8.454545454545455,2.3655913978494624e-08
1,8.545454545454547,2.3404255319148936e-08
1,8.636363636363637,2.3157894736842104e-08
1,8.727272727272727,2.291666666666667e-08
1,8.818181818181818,2.268041237113402e-08
1,8.90909090909091,2.2448979591836735e-08
1,9.0,2.2222222222222224e-08
1,9.090909090909092,2.2e-08
1,9.181818181818182,2.178217821782178e-08
1,9.272727272727273,2.156862745098039e-08
1,9.363636363636363,2.1359223300970875e-08
1,9.454545454545455,2.1153846153846153e-08
1,9.545454545454545,2.0952380952380953e-08
1,9.636363636363637,2.0754716981132075e-08
1,9.727272727272727,2.0560747663551403e-08
1,9.818181818181818,2.037037037037037e-08
1,9.90909090909091,2.018348623853211e-08
1,10.0,2e-08
2,1.0,4.0000000000000003e-07
2,1.0909090909090908,3.666666666666667e-07
2,1.1818181818181819,3.3846153846153845e-07
2,1.2727272727272727,3.142857142857143e-07
2,1.3636363636363638,2.933333333333333e-07
2,1.4545454545454546,2.75e-07
2,1.5454545454545454,2.588235294117647e-07
2,1.6363636363636362,2.4444444444444445e-07
2,1.7272727272727273,2.3157894736842104e-07
2,1.8181818181818183,2.1999999999999998e-07
2,1.9090909090909092,2.0952380952380953e-07
2,2.0,2.0000000000000002e-07
2,2.090909090909091,1.9130434782608698e-07
2,2.1818181818181817,1.8333333333333336e-07
2,2.2727272727272725,1.7600000000000001e-07
2,2.3636363636363638,1.6923076923076923e-07
2,2.4545454545454546,1.6296296296296295e-07
2,2.5454545454545454,1.5714285714285714e-07
2,2.6363636363636367,1.5172413793103449e-07
2,2.7272727272727275,1.4666666666666666e-07
2,2.8181818181818183,1.4193548387096775e-07
2,2.909090909090909,1.375e-07
2,3.0,1.3333333333333334e-07
2,3.090909090909091,1.2941176470588236e-07
2,3.1818181818181817,1.2571428571428572e-07
2,3.272727272727273,1.2222222222222222e-07
2,3.3636363636363638,1.1891891891891891e-07
2,3.4545454545454546,1.1578947368421052e-07
2,3.5454545454545454,1.1282051282051284e-07
2,3.6363636363636362,1.1000000000000002e-07
2,3.7272727272727275,1.073170731707317e-07
2,3.8181818181818183,1.0476190476190476e-07
2,3.909090909090909,1.0232558139534884e-07
2,4.0,1.0000000000000001e-07
2,4.090909090909091,9.777777777777779e-08
2,4.181818181818182,9.565217391304349e-08
2,4.272727272727273,9.361702127659574e-08
2,4.363636363636363,9.166666666666668e-08
2,4.454545454545455,8.979591836734694e-08
2,4.545454545454545,8.800000000000001e-08
2,4.636363636363637,8.627450980392157e-08
2,4.7272727272727275,8.461538461538461e-08
2,4.818181818181818,8.30188679245283e-08
2,4.909090909090909,8.148148148148148e-08
2,5.0,8e-08
2,5.090909090909091,7.857142857142857e-08
2,5.181818181818182,7.719298245614035e-08
2,5.2727272727272725,7.586206896551726e-08
2,5.363636363636363,7.457627118644068e-08
2,5.454545454545455,7.333333333333333e-08
2,5.545454545454546,7.21311475409836e-08
2,5.636363636363637,7.096774193548388e-08
2,5.7272727272727275,6.984126984126983e-08
